transcript_id,n_studies,median_log2fc,direction_consistency,combined_p,significant_fraction,evidence_score,ad_dysregulated
CLEC1A,3,0.07651220543285,0.6666666666666666,0.8060609182350642,0.0,0.025504068477616666,0
LINC00299,2,-0.1020131053946161,0.5,0.7255920563441554,0.0,0.025503276348654024,0
MIR548B,1,-0.0510057789925289,1.0,0.7635740826083472,0.0,0.02550288949626445,0
RAB12-AS1,1,-0.0510005099010529,1.0,0.7331502791864606,0.0,0.02550025495052645,0
GPR152,2,-0.05098695148798125,1.0,0.5147746410646005,0.0,0.025493475743990624,0
ALDH1A3-AS1,1,-0.05098376663824,1.0,0.7905384545006078,0.0,0.02549188331912,0
TMEM82,1,-0.050983546558944,1.0,0.5054168741559208,0.0,0.025491773279472,0
IRF1,3,0.07646358969951,0.6666666666666666,0.9631395442894334,0.0,0.02548786323317,0
C19orf63,1,0.0509710751810157,1.0,0.5783044762344148,0.0,0.02548553759050785,0
IFNL3,1,-0.0509675569288304,1.0,0.206441001232953,0.0,0.0254837784644152,0
RPS18P7,1,-0.0509672232774417,1.0,0.908652206148962,0.0,0.02548361163872085,0
AK3P5,1,-0.0509654951906469,1.0,0.8134068972528923,0.0,0.02548274759532345,0
ZNF207,3,-0.0764391079560011,0.6666666666666666,0.6919040222914995,0.0,0.025479702652000367,0
SFTPA2,2,-0.1018975197866912,0.5,0.012644320707773075,0.0,0.0254743799466728,0
CCT5,3,0.0764011662783339,0.6666666666666666,0.8315256190344567,0.0,0.0254670554261113,0
LOC101929268,1,0.0509250966362955,1.0,0.24180390525886286,0.0,0.02546254831814775,0
MFSD6L,1,0.0509232683112835,1.0,0.5855692823983891,0.0,0.02546163415564175,0
MIR137HG,2,-0.10184364993451972,0.5,0.3762536721619997,0.0,0.02546091248362993,0
LOC101929058,1,0.0509196417213212,1.0,0.3507056158690844,0.0,0.0254598208606606,0
LINC01594,1,-0.050913905698839,1.0,0.3380633814086002,0.0,0.0254569528494195,0
ANKRD32,1,0.0509051396427713,1.0,0.7012330543737166,0.0,0.02545256982138565,0
HMGN4,3,0.076357045685051,0.6666666666666666,0.5133827422826114,0.0,0.025452348561683664,0
PTMAP4,1,-0.0508943157462562,1.0,0.8120473614840537,0.0,0.0254471578731281,0
IL23R,2,0.050872469677157604,1.0,0.613163443552206,0.0,0.025436234838578802,0
