study_id,transcript_id,log2fc,pvalue,padj,n_ad,n_control,ensembl_id
GSE53697,CHAC1,0.1356662451023016,0.5655743988439421,0.9999543342423776,9,8,
GSE53697,C9orf16,-0.1443202251117199,0.3885060348425567,0.9999543342423776,9,8,
GSE53697,C11orf49,0.0260716626409598,0.8721596781648272,0.9999543342423776,9,8,
GSE53697,TRIM48,0.057107314985245,0.4697543196782375,0.9999543342423776,9,8,
GSE53697,C1orf116,-0.1001355773360758,0.2709047233977545,0.9999543342423776,9,8,
GSE53697,JOSD3,-0.2408074222725487,0.4244596802270732,0.9999543342423776,9,8,
GSE53697,RNF26,0.1213107108095385,0.4960578567957499,0.9999543342423776,9,8,
GSE53697,MAPKAP1,0.0363463250668933,0.6959756038077516,0.9999543342423776,9,8,
GSE53697,DHX58,-0.1481621300008408,0.6282471713966465,0.9999543342423776,9,8,
GSE53697,C20orf7,0.1239762758128408,0.5675412906473256,0.9999543342423776,9,8,
GSE53697,TMEM185B,0.2399913973772776,0.0407411247288554,0.9999543342423776,9,8,
GSE53697,APOO,-0.0036581992399957,0.9903381100924022,0.9999543342423776,9,8,
GSE53697,LY6G6E,0.0122134176794443,0.7959672796212627,0.9999543342423776,9,8,
GSE53697,FAM134A,0.0624485157251539,0.7207145152804371,0.9999543342423776,9,8,
GSE53697,DERL1,0.2752501917215859,0.3679332850776783,0.9999543342423776,9,8,
GSE53697,CCDC28B,-0.0543322805378685,0.6714746291581287,0.9999543342423776,9,8,
GSE53697,GNPTAB,0.045905909989675,0.6284417831207532,0.9999543342423776,9,8,
GSE53697,MFSD11,0.0604544618015214,0.3129048023335782,0.9999543342423776,9,8,
GSE53697,PLEKHF1,-0.0475618981584129,0.8136162902182333,0.9999543342423776,9,8,
GSE53697,TNIP2,0.2237753822051931,0.3335909848076751,0.9999543342423776,9,8,
GSE53697,MGC4172,-0.0379148502770658,0.8775091476480301,0.9999543342423776,9,8,
GSE53697,GDPD3,-0.0689105738155477,0.8602442481133019,0.9999543342423776,9,8,
GSE53697,FCRL2,-0.0221682521301122,0.4944538808719088,0.9999543342423776,9,8,
GSE53697,FA2H,0.4270548012168511,0.2376244721418559,0.9999543342423776,9,8,
GSE53697,MMP28,0.0044277357566935,0.9862742612171512,0.9999543342423776,9,8,
GSE53697,FKRP,-0.0581639007680947,0.4023142501901575,0.9999543342423776,9,8,
GSE53697,CHCHD7,-0.0024221089091067,0.989016752229906,0.9999543342423776,9,8,
GSE53697,C20orf149,0.1432059696447769,0.4767096861769733,0.9999543342423776,9,8,
GSE53697,MBOAT7,0.0807495339977162,0.5607982214357032,0.9999543342423776,9,8,
GSE53697,PHF23,-0.069172336138064,0.5785439036666893,0.9999543342423776,9,8,
GSE53697,ZSCAN5A,-0.0830043602736059,0.3334205757774269,0.9999543342423776,9,8,
GSE53697,B3GNT4,-0.0726309419344004,0.4058103468136248,0.9999543342423776,9,8,
GSE53697,BCL2L14,0.0150315219054235,0.9298097855105772,0.9999543342423776,9,8,
GSE53697,NOX5,-0.1250687676209375,0.5986137138231586,0.9999543342423776,9,8,
GSE53697,SAP130,-0.047024273670523,0.6987844295692918,0.9999543342423776,9,8,
GSE53697,RNF219,-0.0367084416691758,0.8120075512804047,0.9999543342423776,9,8,
GSE53697,CEP97,0.0795488009667222,0.3625786661312998,0.9999543342423776,9,8,
GSE53697,TCTN1,0.1879420704077823,0.2776308535595363,0.9999543342423776,9,8,
GSE53697,ADIPOR2,0.406766362559245,0.2231481699102087,0.9999543342423776,9,8,
GSE53697,LASS4,0.0625810917739144,0.7495674719744723,0.9999543342423776,9,8,
GSE53697,PGBD5,-0.0096010204258227,0.950206827107654,0.9999543342423776,9,8,
GSE53697,FAM118B,0.1251881757941682,0.3364320578943445,0.9999543342423776,9,8,
GSE53697,RIC3,-0.1534878542053821,0.2340418504640839,0.9999543342423776,9,8,
GSE53697,C14orf138,0.1322975777060722,0.4519706244764014,0.9999543342423776,9,8,
GSE53697,ACSS3,0.1409695672807682,0.6182977189267672,0.9999543342423776,9,8,
GSE53697,NARG1L,-0.0311801951932011,0.8735595564358013,0.9999543342423776,9,8,
GSE53697,TMCO7,-0.0757437169196348,0.4881290905449411,0.9999543342423776,9,8,
GSE53697,C5orf23,-0.0428494899564197,0.8416400359562917,0.9999543342423776,9,8,
GSE53697,CCNJL,-0.1350713862025248,0.3195979111837259,0.9999543342423776,9,8,
GSE53697,HMBOX1,0.0838254220194185,0.5413270932198473,0.9999543342423776,9,8,
GSE53697,RNASEH2B,0.2676426020130948,0.2647179376481579,0.9999543342423776,9,8,
GSE53697,CCDC121,0.2936310402816482,0.0377241777061433,0.9999543342423776,9,8,
GSE53697,SCRN3,0.1005000846859811,0.4152993794273961,0.9999543342423776,9,8,
GSE53697,FAT4,0.1029527166503552,0.6573918330944355,0.9999543342423776,9,8,
GSE53697,FAM184A,-0.1294448088795672,0.6055710252332447,0.9999543342423776,9,8,
GSE53697,EFTUD1,-0.0450326449120259,0.6717479935799637,0.9999543342423776,9,8,
GSE53697,C1orf54,-0.0103207286441326,0.9608205901065634,0.9999543342423776,9,8,
GSE53697,MUL1,0.0470388324184165,0.7394404265633707,0.9999543342423776,9,8,
GSE53697,OCEL1,0.1445104109090071,0.2726392928840015,0.9999543342423776,9,8,
GSE53697,OGFRL1,0.3965585225214694,0.0620655549203508,0.9999543342423776,9,8,
GSE53697,TNFAIP8L2,0.0605104590255465,0.8001163259449945,0.9999543342423776,9,8,
GSE53697,C4orf31,-0.1365145128019311,0.6122577576888438,0.9999543342423776,9,8,
GSE53697,C6orf211,0.1431965140673368,0.6076927273756166,0.9999543342423776,9,8,
GSE53697,GALNT14,-0.0300423692676692,0.9096621808096462,0.9999543342423776,9,8,
GSE53697,C16orf33,-0.113676626582964,0.5287391189075181,0.9999543342423776,9,8,
GSE53697,SH3TC2,0.5029768023909602,0.1578074028667163,0.9999543342423776,9,8,
GSE53697,C16orf68,-0.0476861312724272,0.8313360626135813,0.9999543342423776,9,8,
GSE53697,C10orf76,0.0550275932886918,0.6490593870376307,0.9999543342423776,9,8,
GSE53697,RNF128,0.051324343563246,0.9003450605497582,0.9999543342423776,9,8,
GSE53697,GLB1L,0.2155062443219559,0.2304959376229745,0.9999543342423776,9,8,
GSE53697,KREMEN2,-0.1054793542849608,0.6309192228982907,0.9999543342423776,9,8,
GSE53697,ZBED2,-0.0423831010387418,0.3174396671658004,0.9999543342423776,9,8,
GSE53697,LRFN3,0.0200938698454042,0.9215653580747948,0.9999543342423776,9,8,
